dataset,best_params,test_accuracy,test_f1,roc_auc
SRS_sampled_df_1000_set_4,"{'n_estimators': 492, 'max_depth': 26, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.6589699994515439,0.6293098532965092,0.8053660672459644
SRS_sampled_df_1000_set_5,"{'n_estimators': 232, 'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6662431211949467,0.6372300458268871,0.8061389671303739
SRS_sampled_df_1000_set_6,"{'n_estimators': 338, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.6678885161384681,0.6410175359886061,0.8028395526684525
SRS_sampled_df_1000_set_7,"{'n_estimators': 779, 'max_depth': 21, 'min_samples_split': 14, 'min_samples_leaf': 8, 'max_features': 'sqrt'}",0.6573614500781528,0.6192244981960565,0.8065194372028692
SRS_sampled_df_1000_set_8,"{'n_estimators': 707, 'max_depth': 24, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.6635769459298871,0.6315863212930368,0.809274634655228
SRS_sampled_df_1000_set_9,"{'n_estimators': 108, 'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.6577965884783443,0.6248712298587727,0.7768022184620345
SRS_sampled_df_1000_set_10,"{'n_estimators': 855, 'max_depth': 16, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.6695246800731262,0.6395521912972179,0.8134271586649048
SRS_sampled_df_1000_set_11,"{'n_estimators': 544, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.6650121574434633,0.627350052421243,0.8057287514614339
SRS_sampled_df_1000_set_12,"{'n_estimators': 274, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt'}",0.6518766339421196,0.6143969776525052,0.8068177352625214
SRS_sampled_df_1000_set_13,"{'n_estimators': 915, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 11, 'max_features': 'sqrt'}",0.6536837294332724,0.6130581450245217,0.805901308139245
SRS_sampled_df_1000_set_14,"{'n_estimators': 871, 'max_depth': 28, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.6622546824011188,0.6299625095794066,0.8120102853018756
SRS_sampled_df_1000_set_15,"{'n_estimators': 835, 'max_depth': 28, 'min_samples_split': 5, 'min_samples_leaf': 11, 'max_features': 'sqrt'}",0.659646621146059,0.6201676467533627,0.8130788116030089
SRS_sampled_df_1000_set_16,"{'n_estimators': 942, 'max_depth': 17, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'sqrt'}",0.6604171998976197,0.6210706183018693,0.8147188918762881
SRS_sampled_df_1000_set_17,"{'n_estimators': 97, 'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6480858532304654,0.6162054176738657,0.8103640081654271
SRS_sampled_df_1000_set_18,"{'n_estimators': 855, 'max_depth': 23, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.6639853012422644,0.6305415354481804,0.808248030547233
SRS_sampled_df_1000_set_19,"{'n_estimators': 787, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6660572598632492,0.6394893704722328,0.8068985877738603
SRS_sampled_df_1000_set_20,"{'n_estimators': 155, 'max_depth': 9, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.6634826325411335,0.6299785270970762,0.8039964070850508
SRS_sampled_df_5000_set_1,"{'n_estimators': 135, 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 9, 'max_features': 'sqrt'}",0.6838917586844225,0.6578424894401614,0.8282378652815315
SRS_sampled_df_5000_set_2,"{'n_estimators': 742, 'max_depth': 17, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.7115027301683604,0.6909687478594937,0.8351943501761145
SRS_sampled_df_5000_set_3,"{'n_estimators': 196, 'max_depth': 23, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7027283151540422,0.6799168676745339,0.8325831835630562
SRS_sampled_df_5000_set_4,"{'n_estimators': 144, 'max_depth': 18, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.7060841871795115,0.6857915623698172,0.8343499345179461
