dataset,best_params,num_boost_round
clhs_sampled_data_1000_set_13,"{'lambda_l1': 0.0036379000113435024, 'lambda_l2': 2.0588148178475144e-06, 'num_leaves': 243, 'feature_fraction': 0.6264015801172376, 'bagging_fraction': 0.9993947079473573, 'bagging_freq': 13, 'min_child_samples': 40, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",52
FCMtp2sampled_data_1000_set_13,"{'lambda_l1': 5.568681467033454e-06, 'lambda_l2': 0.8548296634437267, 'num_leaves': 250, 'feature_fraction': 0.884391246161853, 'bagging_fraction': 0.9975823543726746, 'bagging_freq': 2, 'min_child_samples': 5, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100
FSCS_sampled_data_1000_set_13,"{'lambda_l1': 0.0017692795928958096, 'lambda_l2': 0.0037780895828525576, 'num_leaves': 35, 'feature_fraction': 0.7838789290333276, 'bagging_fraction': 0.9698509558429236, 'bagging_freq': 14, 'min_child_samples': 53, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",66
BalancedSampling_sampled_data_1000_set_14,"{'lambda_l1': 0.0006639991878196672, 'lambda_l2': 0.00010209808188751238, 'num_leaves': 384, 'feature_fraction': 0.6954220502077864, 'bagging_fraction': 0.8836206957074966, 'bagging_freq': 7, 'min_child_samples': 42, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",75
clhs_sampled_data_1000_set_14,"{'lambda_l1': 8.548882387491739e-07, 'lambda_l2': 0.032609635523636674, 'num_leaves': 213, 'feature_fraction': 0.7487462098672931, 'bagging_fraction': 0.8896020739515769, 'bagging_freq': 4, 'min_child_samples': 9, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",42
FCMtp2sampled_data_1000_set_14,"{'lambda_l1': 0.0007593692473652599, 'lambda_l2': 5.218744765985865e-05, 'num_leaves': 278, 'feature_fraction': 0.3345948171924332, 'bagging_fraction': 0.7859692471548676, 'bagging_freq': 3, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",51
FSCS_sampled_data_1000_set_14,"{'lambda_l1': 7.559267500377372e-07, 'lambda_l2': 2.7952239839765912e-08, 'num_leaves': 504, 'feature_fraction': 0.4842988017945707, 'bagging_fraction': 0.9419482337860268, 'bagging_freq': 2, 'min_child_samples': 35, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",78
BalancedSampling_sampled_data_1000_set_15,"{'lambda_l1': 1.8316969622611192e-08, 'lambda_l2': 3.9179320652442775, 'num_leaves': 9, 'feature_fraction': 0.858890458895517, 'bagging_fraction': 0.7032677468504102, 'bagging_freq': 11, 'min_child_samples': 19, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",58
clhs_sampled_data_1000_set_15,"{'lambda_l1': 0.001131466719429799, 'lambda_l2': 0.2884921229828621, 'num_leaves': 152, 'feature_fraction': 0.8772324377287918, 'bagging_fraction': 0.7047047211964788, 'bagging_freq': 12, 'min_child_samples': 47, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",61
FCMtp2sampled_data_1000_set_15,"{'lambda_l1': 0.025630525743032, 'lambda_l2': 0.00014199294342437092, 'num_leaves': 285, 'feature_fraction': 0.7075175081038576, 'bagging_fraction': 0.5411239814312709, 'bagging_freq': 0, 'min_child_samples': 8, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",99
FSCS_sampled_data_1000_set_15,"{'lambda_l1': 0.15783505147264895, 'lambda_l2': 0.00018716547497587595, 'num_leaves': 132, 'feature_fraction': 0.6721305927974962, 'bagging_fraction': 0.9151281457766315, 'bagging_freq': 3, 'min_child_samples': 61, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",42
BalancedSampling_sampled_data_1000_set_16,"{'lambda_l1': 7.642594165132474e-06, 'lambda_l2': 4.908820178359479e-07, 'num_leaves': 403, 'feature_fraction': 0.6171673757970763, 'bagging_fraction': 0.863464574335194, 'bagging_freq': 14, 'min_child_samples': 19, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",62
clhs_sampled_data_1000_set_16,"{'lambda_l1': 3.709213905370124e-05, 'lambda_l2': 1.2183183316596937, 'num_leaves': 16, 'feature_fraction': 0.9235515294822798, 'bagging_fraction': 0.8764711959438793, 'bagging_freq': 14, 'min_child_samples': 8, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",41
FCMtp2sampled_data_1000_set_16,"{'lambda_l1': 1.5569086709877278e-05, 'lambda_l2': 0.00018033866094109923, 'num_leaves': 138, 'feature_fraction': 0.6167143930649227, 'bagging_fraction': 0.963533661243418, 'bagging_freq': 8, 'min_child_samples': 8, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100
FSCS_sampled_data_1000_set_16,"{'lambda_l1': 1.4096336735094735e-06, 'lambda_l2': 1.6164262636095343e-05, 'num_leaves': 257, 'feature_fraction': 0.6735811566824091, 'bagging_fraction': 0.665556022099782, 'bagging_freq': 2, 'min_child_samples': 22, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",37
BalancedSampling_sampled_data_1000_set_17,"{'lambda_l1': 0.26708120475561986, 'lambda_l2': 1.0484255981473871, 'num_leaves': 294, 'feature_fraction': 0.9701792691329091, 'bagging_fraction': 0.9996427610166374, 'bagging_freq': 4, 'min_child_samples': 13, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",40
clhs_sampled_data_1000_set_17,"{'lambda_l1': 1.932234540107498e-07, 'lambda_l2': 9.552821825944575e-08, 'num_leaves': 387, 'feature_fraction': 0.7275005800999548, 'bagging_fraction': 0.6986746542455757, 'bagging_freq': 4, 'min_child_samples': 8, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",43
