dataset,best_params,test_accuracy,test_f1
FSCS_sampled_data_1000_set_5,"{'lambda_l1': 4.556501195518142e-06, 'lambda_l2': 9.134844704650375, 'num_leaves': 347, 'feature_fraction': 0.28290961314202223, 'bagging_fraction': 0.8006400178614478, 'bagging_freq': 1, 'min_child_samples': 72, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6522995072810874,0.6250259965775491
kmeans_sampled_data_1000_set_5,"{'lambda_l1': 1.6553388102805358, 'lambda_l2': 0.0060243199122255705, 'num_leaves': 322, 'feature_fraction': 0.6289213921462758, 'bagging_fraction': 0.9292564644008686, 'bagging_freq': 6, 'min_child_samples': 13, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5882643313557541,0.53628137016734
BalancedSampling_sampled_data_1000_set_6,"{'lambda_l1': 1.806865092602692, 'lambda_l2': 1.5160638495873633, 'num_leaves': 209, 'feature_fraction': 0.44724586909685593, 'bagging_fraction': 0.4940596589800993, 'bagging_freq': 6, 'min_child_samples': 87, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6399312570274149,0.60905646820616
clhs_sampled_data_1000_set_6,"{'lambda_l1': 3.0327437151670107e-07, 'lambda_l2': 6.819265114845356, 'num_leaves': 307, 'feature_fraction': 0.6072422302986217, 'bagging_fraction': 0.3953942448661477, 'bagging_freq': 4, 'min_child_samples': 41, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6559377656705639,0.6259514143550575
FCMtp1sampled_data_1000_set_6,"{'lambda_l1': 2.0230453885192023, 'lambda_l2': 0.00011111277878649826, 'num_leaves': 318, 'feature_fraction': 0.5709798759989163, 'bagging_fraction': 0.8848409034741558, 'bagging_freq': 12, 'min_child_samples': 4, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5128207472141727,0.4162738469191248
FCMtp2sampled_data_1000_set_6,"{'lambda_l1': 2.7685427899890396, 'lambda_l2': 0.08835798804847779, 'num_leaves': 116, 'feature_fraction': 0.9011616678657907, 'bagging_fraction': 0.9522484490612627, 'bagging_freq': 5, 'min_child_samples': 48, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5687201192032397,0.5095694147421006
FSCS_sampled_data_1000_set_6,"{'lambda_l1': 3.7296795082358347, 'lambda_l2': 7.61771074142078, 'num_leaves': 411, 'feature_fraction': 0.7162682261550872, 'bagging_fraction': 0.8140476535575702, 'bagging_freq': 2, 'min_child_samples': 46, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6540912124176136,0.6273844052639623
kmeans_sampled_data_1000_set_6,"{'lambda_l1': 2.772921512766486e-06, 'lambda_l2': 9.721465894898104, 'num_leaves': 122, 'feature_fraction': 0.5870900137563202, 'bagging_fraction': 0.9032780777841704, 'bagging_freq': 2, 'min_child_samples': 5, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5750916420611922,0.5140129603367577
BalancedSampling_sampled_data_1000_set_7,"{'lambda_l1': 8.454836286772841e-06, 'lambda_l2': 0.7051592456048807, 'num_leaves': 294, 'feature_fraction': 0.5499834309161994, 'bagging_fraction': 0.3726993561748073, 'bagging_freq': 2, 'min_child_samples': 67, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6448767288583365,0.6217733226870223
clhs_sampled_data_1000_set_7,"{'lambda_l1': 4.137464432989688, 'lambda_l2': 3.046410204249286e-08, 'num_leaves': 271, 'feature_fraction': 0.6125653684287261, 'bagging_fraction': 0.9746834258598733, 'bagging_freq': 10, 'min_child_samples': 17, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6626200945215873,0.6417646896198578
FCMtp1sampled_data_1000_set_7,"{'lambda_l1': 0.22978046860939458, 'lambda_l2': 6.971638420181894, 'num_leaves': 76, 'feature_fraction': 0.7195430734932605, 'bagging_fraction': 0.8177236204715012, 'bagging_freq': 0, 'min_child_samples': 3, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5080489610852614,0.4074518128261215
FCMtp2sampled_data_1000_set_7,"{'lambda_l1': 1.808833511733055e-07, 'lambda_l2': 4.305978468782485, 'num_leaves': 496, 'feature_fraction': 0.9149739917994832, 'bagging_fraction': 0.6929436552829603, 'bagging_freq': 0, 'min_child_samples': 52, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5794612086696589,0.5203654068934307
FSCS_sampled_data_1000_set_7,"{'lambda_l1': 1.4185786709912535e-07, 'lambda_l2': 0.006842896921012999, 'num_leaves': 163, 'feature_fraction': 0.42055142023666203, 'bagging_fraction': 0.33427176485316795, 'bagging_freq': 1, 'min_child_samples': 95, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6403060524896474,0.615080540440367
kmeans_sampled_data_1000_set_7,"{'lambda_l1': 5.741994584042205e-07, 'lambda_l2': 9.716693493289778, 'num_leaves': 72, 'feature_fraction': 0.8593529162095039, 'bagging_fraction': 0.8354646632927312, 'bagging_freq': 2, 'min_child_samples': 17, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5779803095262037,0.5227353924324644
BalancedSampling_sampled_data_1000_set_8,"{'lambda_l1': 3.585811138515497, 'lambda_l2': 0.9297436128995874, 'num_leaves': 12, 'feature_fraction': 0.6662939025180531, 'bagging_fraction': 0.6149333706450766, 'bagging_freq': 2, 'min_child_samples': 75, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.651394513360087,0.6223424878659801
clhs_sampled_data_1000_set_8,"{'lambda_l1': 2.660878723525342, 'lambda_l2': 1.1017435770773019e-06, 'num_leaves': 3, 'feature_fraction': 0.7866509839371894, 'bagging_fraction': 0.49926904253851545, 'bagging_freq': 0, 'min_child_samples': 48, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6555721115610688,0.6346532407613359
FCMtp1sampled_data_1000_set_8,"{'lambda_l1': 1.9987030518964017, 'lambda_l2': 0.019966859947133864, 'num_leaves': 450, 'feature_fraction': 0.9905435366161067, 'bagging_fraction': 0.5032527839049202, 'bagging_freq': 0, 'min_child_samples': 43, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5163310266653259,0.44871269073006254
FCMtp2sampled_data_1000_set_8,"{'lambda_l1': 3.2954709834690337, 'lambda_l2': 0.0002173180777903917, 'num_leaves': 154, 'feature_fraction': 0.8758070372533603, 'bagging_fraction': 0.8660454660850406, 'bagging_freq': 11, 'min_child_samples': 16, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5635186894956715,0.5039658952924883
FSCS_sampled_data_1000_set_8,"{'lambda_l1': 7.927212006975907, 'lambda_l2': 0.0037006470468938743, 'num_leaves': 24, 'feature_fraction': 0.7693001352824846, 'bagging_fraction': 0.9567626197823977, 'bagging_freq': 6, 'min_child_samples': 10, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6575740678105546,0.6274491737326668
kmeans_sampled_data_1000_set_8,"{'lambda_l1': 3.80964723288807e-08, 'lambda_l2': 7.172719712243589, 'num_leaves': 77, 'feature_fraction': 0.9543210531579984, 'bagging_fraction': 0.7565439605750055, 'bagging_freq': 15, 'min_child_samples': 7, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5959887744188385,0.5427812452929704
BalancedSampling_sampled_data_1000_set_9,"{'lambda_l1': 1.7164569303487083, 'lambda_l2': 9.118235713214919, 'num_leaves': 197, 'feature_fraction': 0.7745584972588597, 'bagging_fraction': 0.9237843155173115, 'bagging_freq': 7, 'min_child_samples': 45, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6488623586518333,0.628892772563124
clhs_sampled_data_1000_set_9,"{'lambda_l1': 5.580400095640423, 'lambda_l2': 5.500665167328662e-08, 'num_leaves': 493, 'feature_fraction': 0.9831954072341337, 'bagging_fraction': 0.9223735474384446, 'bagging_freq': 12, 'min_child_samples': 58, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.658140831680272,0.6276088323454733
FCMtp1sampled_data_1000_set_9,"{'lambda_l1': 2.4728464618975914, 'lambda_l2': 6.569393621680639e-06, 'num_leaves': 257, 'feature_fraction': 0.6278860005458042, 'bagging_fraction': 0.5954501519702209, 'bagging_freq': 1, 'min_child_samples': 22, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5125099412211019,0.4299150408540406
FCMtp2sampled_data_1000_set_9,"{'lambda_l1': 2.1954261282830205, 'lambda_l2': 0.1209504376133168, 'num_leaves': 68, 'feature_fraction': 0.7954723666941907, 'bagging_fraction': 0.9994424713650003, 'bagging_freq': 11, 'min_child_samples': 2, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5098406662217875,0.39879223862319174
FSCS_sampled_data_1000_set_9,"{'lambda_l1': 3.166555085529828, 'lambda_l2': 0.19354284274508377, 'num_leaves': 280, 'feature_fraction': 0.44308151509591304, 'bagging_fraction': 0.7458959033094672, 'bagging_freq': 9, 'min_child_samples': 84, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6502061375042278,0.6220880929957042
kmeans_sampled_data_1000_set_9,"{'lambda_l1': 1.0062946716857526e-07, 'lambda_l2': 3.54028350687652, 'num_leaves': 435, 'feature_fraction': 0.4833338601715783, 'bagging_fraction': 0.6930205759648849, 'bagging_freq': 5, 'min_child_samples': 13, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5641403014818133,0.5123228967112398
