dataset,best_params,r2,rmsle
FSCS_sampled_data_1000_set_13,"{'n_estimators': 389, 'max_depth': 17, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.7110145147031673,0.5910314058485415
BalancedSampling_sampled_data_1000_set_14,"{'n_estimators': 794, 'max_depth': 14, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7015317718414429,0.5851434635315547
clhs_sampled_data_1000_set_14,"{'n_estimators': 386, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.7169913122906357,0.5841363806112341
FCMtp2sampled_data_1000_set_14,"{'n_estimators': 682, 'max_depth': 21, 'min_samples_split': 7, 'min_samples_leaf': 11, 'max_features': 'sqrt'}",0.5269860984609427,0.6682293307462901
FSCS_sampled_data_1000_set_14,"{'n_estimators': 479, 'max_depth': 24, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.7293345994467508,0.5673851076569081
BalancedSampling_sampled_data_1000_set_15,"{'n_estimators': 831, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.6979380312639905,0.617695160456454
clhs_sampled_data_1000_set_15,"{'n_estimators': 962, 'max_depth': 26, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.7078890804719298,0.590480453825084
FCMtp2sampled_data_1000_set_15,"{'n_estimators': 97, 'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.4803962223612792,0.6777965192327917
FSCS_sampled_data_1000_set_15,"{'n_estimators': 718, 'max_depth': 20, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.7185588039335891,0.5560215567607371
BalancedSampling_sampled_data_1000_set_16,"{'n_estimators': 137, 'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.6852769822263751,0.6488115466449608
clhs_sampled_data_1000_set_16,"{'n_estimators': 606, 'max_depth': 28, 'min_samples_split': 14, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.7079594532102895,0.5799285396294163
