raw_n,feat_num,level,comb_idx,elapsed_time,peak_mem_used
20000,4,5000,3,3.2804695,8007.515625
20000,4,5000,4,3.2805267,8007.515625
20000,4,5000,5,3.3123761,8007.515625
20000,4,10000,1,5.5290962,9533.3671875
20000,4,10000,2,5.7867006,9533.3671875
20000,4,10000,3,5.8112423,9533.3671875
20000,4,10000,4,5.8393971,9533.87109375
20000,4,10000,5,5.6358472,9533.87109375
20000,4,15000,1,8.3543794,11059.77734375
20000,4,15000,2,8.3618266,11059.77734375
20000,4,15000,3,8.0497444,11059.77734375
20000,4,15000,4,8.2967431,11059.77734375
20000,4,15000,5,8.2732927,11059.77734375
20000,4,20000,1,10.9385478,12586.6640625
20000,4,20000,2,11.0503188,12586.6640625
20000,4,20000,3,11.0413619,12586.6640625
20000,4,20000,4,11.0893454,12586.6640625
20000,4,20000,5,11.904895,12578.75390625
20000,5,5000,1,3.4539207,7237.16796875
20000,5,5000,2,3.2152364,8000.109375
20000,5,5000,3,3.3376846,7237.16796875
20000,5,5000,4,3.3903099,8000.078125
20000,5,5000,5,3.5478535,8000.15234375
20000,5,10000,1,5.7811815,9534.453125
20000,5,10000,2,5.7660387,9534.453125
20000,5,10000,3,5.8691288,9534.484375
20000,5,10000,4,5.8824488,9535.11328125
20000,5,10000,5,5.8132214,9535.11328125
20000,5,15000,1,8.2706462,11062.5625
20000,5,15000,2,8.2271371,11063.0703125
20000,5,15000,3,8.2844132,11063.0703125
20000,5,15000,4,8.2434318,11063.0390625
20000,5,15000,5,8.333391,11063.0703125
20000,5,20000,1,11.6242591,12588.953125
20000,5,20000,2,10.9673177,12588.96875
20000,5,20000,3,11.1309473,12588.96875
20000,5,20000,4,11.2295378,12588.96875
20000,5,20000,5,11.4943707,12588.96875
20000,6,5000,1,3.4669946,8011.2109375
20000,6,5000,2,3.3896602,8011.2109375
20000,6,5000,3,3.3757205,8012.171875
20000,6,5000,4,3.4934151,8012.171875
20000,6,5000,5,3.4991033,8012.171875
20000,6,10000,1,5.7398461,9538.0546875
20000,6,10000,2,5.9053478,9538.0546875
20000,6,10000,3,5.7579809,9538.0546875
20000,6,10000,4,6.0808174,9530.17578125
20000,6,10000,5,5.7736572,9530.17578125
20000,6,15000,1,8.2592441,11057.0234375
20000,6,15000,2,8.4279786,11057.05078125
20000,6,15000,3,8.5566888,11057.0234375
20000,6,15000,4,8.2737701,11057.0234375
20000,6,15000,5,8.5706997,11057.0234375
20000,6,20000,1,11.2872771,12582.90625
20000,6,20000,2,11.2253027,12582.90625
20000,6,20000,3,11.4541079,12582.90625
20000,6,20000,4,11.1243684,12582.90625
20000,6,20000,5,11.4365675,12582.875
20000,7,5000,1,3.5845757,8006.5
20000,7,5000,2,3.5018372,8006.5
20000,7,5000,3,3.2828644,8006.5
20000,7,5000,4,3.3941394,8006.5
20000,7,5000,5,3.6123295,8006.5
20000,7,10000,1,5.9381737,9533.38671875
20000,7,10000,2,5.8203443,9533.38671875
20000,7,10000,3,5.792415,9533.38671875
20000,7,10000,4,6.0380278,9533.38671875
20000,7,10000,5,5.8380448,9533.41796875
20000,7,15000,1,8.3654185,11060.05859375
20000,7,15000,2,8.2715148,11060.05859375
20000,7,15000,3,8.3474522,11060.08984375
20000,7,15000,4,8.5009365,11060.08984375
20000,7,15000,5,8.2826307,11060.08984375
20000,7,20000,1,11.5064022,12588.04296875
20000,7,20000,2,11.1745069,12588.04296875
20000,7,20000,3,11.3088295,12588.04296875
20000,7,20000,4,11.5050953,12588.01171875
20000,7,20000,5,11.3062175,12588.96875
20000,8,5000,1,3.6908136,8008.55859375
20000,8,5000,2,3.3174547,8008.55859375
20000,8,5000,3,3.440082,8008.55859375
20000,8,5000,4,3.3025994,8008.55859375
20000,8,5000,5,3.4702508,8008.56640625
20000,8,10000,1,6.0380598,9535.515625
20000,8,10000,2,6.0402203,9535.515625
20000,8,10000,3,5.7933672,9535.515625
20000,8,10000,4,5.9842327,9535.515625
20000,8,10000,5,5.9908395,9535.515625
20000,8,15000,1,8.3773544,11061.359375
20000,8,15000,2,8.2669761,11061.359375
20000,8,15000,3,8.467286,11061.359375
20000,8,15000,4,8.5913789,11061.37890625
20000,8,15000,5,8.3131636,11061.37890625
20000,8,20000,1,11.3317255,12589.484375
20000,8,20000,2,11.6605145,12589.453125
20000,8,20000,3,11.2621484,12589.453125
20000,8,20000,4,11.6737056,12590.4765625
20000,8,20000,5,11.5506871,12590.5078125
20000,9,5000,1,3.7131093,8010.1171875
20000,9,5000,2,3.4315889,8010.1171875
20000,9,5000,3,3.4592304,8010.1171875
20000,9,5000,4,3.5343824,8010.1171875
20000,9,5000,5,3.4471884,8010.1171875
20000,9,10000,1,5.7626777,9537.00390625
20000,9,10000,2,5.9309969,9536.97265625
20000,9,10000,3,5.7968244,9536.97265625
20000,9,10000,4,6.0510762,9537.0078125
20000,9,10000,5,6.019454,9537.0078125
20000,9,15000,1,8.3955101,11064.9140625
20000,9,15000,2,8.3729212,11064.9140625
20000,9,15000,3,8.6427217,11064.9140625
20000,9,15000,4,8.4334411,11064.94140625
20000,9,15000,5,8.5001637,11064.9140625
20000,9,20000,1,11.4585445,12591.109375
20000,9,20000,2,11.2813564,12591.109375
20000,9,20000,3,11.4477632,12592.14453125
20000,9,20000,4,11.911277,12592.14453125
20000,9,20000,5,11.6424911,12592.14453125
20000,10,5000,1,3.6139898,8011.5625
20000,10,10000,1,6.0033002,9538.44921875
