dataset,best_params,test_accuracy,test_f1
clhs_sampled_data_1000_set_8,"{'n_estimators': 442, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.675427129706654,0.6564765982279561
FCMtp1sampled_data_1000_set_8,"{'n_estimators': 668, 'max_depth': 8, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.542612415785288,0.4740435954337748
FCMtp2sampled_data_1000_set_8,"{'n_estimators': 395, 'max_depth': 19, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.5714625250244532,0.5120321197360335
FSCS_sampled_data_1000_set_8,"{'n_estimators': 502, 'max_depth': 18, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6653990657537502,0.636538528983048
kmeans_sampled_data_1000_set_8,"{'n_estimators': 266, 'max_depth': 2, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.5293026061996654,0.44768890295490776
BalancedSampling_sampled_data_1000_set_9,"{'n_estimators': 863, 'max_depth': 15, 'min_samples_split': 16, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.6585704752589289,0.6279813298901479
clhs_sampled_data_1000_set_9,"{'n_estimators': 49, 'max_depth': 29, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6653259349318512,0.6420770378974073
FCMtp1sampled_data_1000_set_9,"{'n_estimators': 394, 'max_depth': 25, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.5264413627928661,0.45014824902787115
FCMtp2sampled_data_1000_set_9,"{'n_estimators': 982, 'max_depth': 18, 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.5527776000292524,0.4803766309539965
FSCS_sampled_data_1000_set_9,"{'n_estimators': 332, 'max_depth': 18, 'min_samples_split': 3, 'min_samples_leaf': 8, 'max_features': 'log2'}",0.6612031848472937,0.6211606869790789
kmeans_sampled_data_1000_set_9,"{'n_estimators': 134, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.5666267494263801,0.507618053122873
BalancedSampling_sampled_data_1000_set_10,"{'n_estimators': 544, 'max_depth': 24, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.6690647482014388,0.633539834993058
clhs_sampled_data_1000_set_10,"{'n_estimators': 86, 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6690464654959641,0.6422247257066811
FCMtp1sampled_data_1000_set_10,"{'n_estimators': 820, 'max_depth': 18, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.5312954210964138,0.4694159117942841
FCMtp2sampled_data_1000_set_10,"{'n_estimators': 940, 'max_depth': 14, 'min_samples_split': 16, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.5743786165476767,0.5072488590512538
FSCS_sampled_data_1000_set_10,"{'n_estimators': 368, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.6548865101057655,0.6181487923363118
kmeans_sampled_data_1000_set_10,"{'n_estimators': 783, 'max_depth': 2, 'min_samples_split': 16, 'min_samples_leaf': 16, 'max_features': 'log2'}",0.5170714762370535,0.4283126526066141
BalancedSampling_sampled_data_1000_set_11,"{'n_estimators': 11, 'max_depth': 23, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6581134076220599,0.6396087763615252
clhs_sampled_data_1000_set_11,"{'n_estimators': 409, 'max_depth': 13, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6696223707184189,0.6444520828186665
FCMtp1sampled_data_1000_set_11,"{'n_estimators': 190, 'max_depth': 21, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.5300064903604436,0.4670190576562155
FCMtp2sampled_data_1000_set_11,"{'n_estimators': 489, 'max_depth': 27, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 'log2'}",0.5208468549175908,0.4347310535632648
FSCS_sampled_data_1000_set_11,"{'n_estimators': 414, 'max_depth': 22, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.6706919089886921,0.6404976610405055
kmeans_sampled_data_1000_set_11,"{'n_estimators': 489, 'max_depth': 14, 'min_samples_split': 10, 'min_samples_leaf': 11, 'max_features': 'log2'}",0.5905770935983107,0.5282912640565841
BalancedSampling_sampled_data_1000_set_12,"{'n_estimators': 404, 'max_depth': 17, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.6702256999990859,0.6415065962024384
clhs_sampled_data_1000_set_12,"{'n_estimators': 75, 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.6614225773129908,0.621296400153317
FCMtp1sampled_data_1000_set_12,"{'n_estimators': 319, 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.5379686085946999,0.4623335254750135
FCMtp2sampled_data_1000_set_12,"{'n_estimators': 121, 'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.573610742917737,0.507235860700887
FSCS_sampled_data_1000_set_12,"{'n_estimators': 223, 'max_depth': 21, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.6637810463192343,0.6290365296492572
kmeans_sampled_data_1000_set_12,"{'n_estimators': 912, 'max_depth': 2, 'min_samples_split': 10, 'min_samples_leaf': 14, 'max_features': 'log2'}",0.5142559395939411,0.42265428292899954
BalancedSampling_sampled_data_1000_set_13,"{'n_estimators': 321, 'max_depth': 28, 'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.6692110098452368,0.6348709538193422
clhs_sampled_data_1000_set_13,"{'n_estimators': 777, 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6688636384412165,0.6390643757989158
FCMtp1sampled_data_1000_set_13,"{'n_estimators': 448, 'max_depth': 14, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5519091715192014,0.49551764245985
FCMtp2sampled_data_1000_set_13,"{'n_estimators': 719, 'max_depth': 13, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.5779985922316785,0.5180392964182265
FSCS_sampled_data_1000_set_13,"{'n_estimators': 50, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6619527757717587,0.6342978690794823
kmeans_sampled_data_1000_set_13,"{'n_estimators': 410, 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 14, 'max_features': 'sqrt'}",0.5666084667209054,0.5060172967431569
BalancedSampling_sampled_data_1000_set_14,"{'n_estimators': 84, 'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6641101350177799,0.6346977932501398
clhs_sampled_data_1000_set_14,"{'n_estimators': 81, 'max_depth': 14, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.6614865667821525,0.6253422124479846
FCMtp1sampled_data_1000_set_14,"{'n_estimators': 913, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.5401168264879836,0.47176989704444494
FCMtp2sampled_data_1000_set_14,"{'n_estimators': 57, 'max_depth': 14, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.5643596939475104,0.49790319464354515
FSCS_sampled_data_1000_set_14,"{'n_estimators': 107, 'max_depth': 17, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.6668891062499429,0.6401283866785169
kmeans_sampled_data_1000_set_14,"{'n_estimators': 865, 'max_depth': 9, 'min_samples_split': 16, 'min_samples_leaf': 16, 'max_features': 'sqrt'}",0.5848728894901868,0.52471146205292
BalancedSampling_sampled_data_1000_set_15,"{'n_estimators': 191, 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 10, 'max_features': 'sqrt'}",0.660581572861152,0.6185573748481171
clhs_sampled_data_1000_set_15,"{'n_estimators': 535, 'max_depth': 9, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 'log2'}",0.656422257365645,0.621096298169146
