,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
570,11.2,1.49,0.9,15.1,16.0,0.35,2.9,1.6,63.4,15.0,0.1
571,11.5,1.53,0.7,16.0,14.9,0.14,2.1,1.5,64.7,30.0,0.1
572,6.9,1.61,2.2,14.5,14.4,0.07,2.7,1.2,65.0,43.0,0.0
573,19.0,1.58,0.7,17.3,13.6,0.05,2.1,1.3,65.0,61.0,0.0
580,11.3,1.56,11.9,10.5,28.4,2.04,4.2,3.2,41.7,0.0,0.1
581,9.4,1.39,17.7,10.5,26.8,0.69,6.5,2.8,35.6,20.0,0.1
582,13.4,1.52,16.5,11.0,27.3,0.47,6.1,2.7,36.2,33.0,0.2
583,1.0,1.61,12.8,9.9,30.8,0.29,4.3,3.5,38.4,56.0,0.3
584,1.0,1.65,11.3,9.1,32.0,0.21,5.2,3.3,39.0,71.0,0.1
585,0.4,1.63,12.4,8.0,30.0,0.17,4.1,3.2,42.1,83.0,0.2
586,0.1,1.63,12.2,9.1,28.2,0.15,4.3,3.1,43.0,104.0,0.1
588,14.8,1.54,1.9,6.3,39.8,0.49,5.4,4.5,42.0,30.0,0.1
589,11.7,1.63,3.6,6.5,37.5,0.95,5.1,4.2,43.0,46.0,0.1
590,11.6,1.61,3.3,6.1,38.1,0.68,4.6,4.8,43.0,68.0,0.1
591,5.3,1.63,2.6,6.5,36.4,0.39,5.3,4.5,44.6,86.0,0.1
592,0.4,1.66,16.8,5.9,30.1,0.58,5.6,3.5,38.0,122.0,0.1
593,0.7,1.66,15.4,5.4,32.3,0.41,4.8,3.2,38.8,150.0,0.1
596,12.0,1.67,4.0,3.8,38.7,0.18,4.0,5.9,43.4,20.0,0.2
597,4.3,1.72,6.8,5.0,35.4,0.13,4.5,5.1,43.0,38.0,0.2
598,3.8,1.66,11.0,5.1,32.3,0.11,5.5,5.2,40.7,53.0,0.2
599,3.8,1.63,10.2,3.7,35.0,0.14,4.3,6.2,40.3,68.0,0.3
600,11.1,1.5,2.0,7.6,36.7,1.16,7.0,4.3,42.3,0.0,0.1
601,6.0,1.62,3.6,8.0,36.6,0.94,5.0,4.4,41.3,13.0,0.2
602,4.2,1.68,3.0,7.8,35.5,0.58,5.7,5.3,42.6,20.0,0.1
603,10.9,1.6,3.1,7.2,36.3,0.34,5.3,5.7,42.2,30.0,0.2
604,5.8,1.68,4.2,8.5,33.6,0.16,6.0,5.5,42.0,53.0,0.2
605,0.2,1.68,11.0,7.6,30.5,0.17,7.0,4.3,39.5,66.0,0.1
606,0.4,1.69,14.2,7.7,29.1,0.09,6.3,4.3,38.3,76.0,0.1
608,10.1,1.55,4.1,6.5,36.0,0.1,10.7,5.4,37.0,137.0,0.3
610,16.7,1.37,3.8,7.1,16.6,0.54,9.6,6.2,56.2,10.0,0.5
611,11.3,1.55,3.6,6.8,19.4,0.2,8.1,7.2,54.1,25.0,0.8
613,1.1,1.48,16.6,4.3,22.2,0.13,5.7,8.3,41.8,68.0,1.1
614,8.8,1.58,18.3,4.0,22.0,0.07,3.8,9.8,41.1,86.0,1.0
620,24.0,1.68,0.7,11.2,19.4,0.16,5.7,2.4,60.6,36.0,0.0
635,21.2,1.62,3.4,5.8,32.9,1.08,1.0,5.6,50.9,109.0,0.4
638,37.1,1.48,0.7,8.4,30.5,0.68,3.8,2.6,54.0,0.0,0.0
