,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
8495,9.99,1.43,2.5,5.0,39.6,3.05,6.5,1.6,44.8,15.0,0.0
10852,46.0,1.46,0.8,5.1,10.2,0.25,1.8,0.9,81.2,18.0,0.0
5918,0.29,1.63,10.8,12.8,22.0,0.16,7.4,8.4,37.6,114.0,1.0
17621,14.5,1.61,5.0,14.0,25.2,0.46,9.3,10.7,34.4,0.0,1.4
63,0.008,1.38,9.06,9.36,0.78,2.14,76.33,0.43,3.86,0.0,0.18
18489,92.0,1.59,2.7,0.4,59.8,0.15,0.2,3.1,33.8,53.0,0.01
17888,0.0994,1.05,68.2,8.0,2.0,0.44,10.6,0.2,11.0,38.0,0.0
15681,71.0,1.36,1.1,2.5,60.3,1.45,0.5,5.3,30.3,0.0,0.0
11376,0.19,1.57,10.5,27.6,4.2,1.14,18.3,0.4,39.0,8.0,0.0
675,3.9,1.65,13.7,10.0,23.8,0.4,8.2,2.7,41.5,18.0,0.1
16846,0.21,1.53,8.7,27.6,3.9,1.93,18.0,0.4,41.3,0.0,0.1
8073,8.33,1.46,20.8,10.4,1.9,2.72,53.1,0.6,13.1,0.0,0.1
91,0.05,1.77,29.4,5.5,21.8,0.09,3.9,18.5,14.8,142.0,6.1
4405,0.55,1.55,14.6,32.4,6.3,0.48,17.8,3.9,24.5,36.0,0.5
310,0.3,1.2,11.1,8.0,34.5,2.06,8.3,4.0,34.0,51.0,0.1
9859,16.4,1.46,2.6,16.9,15.7,0.61,2.2,0.7,61.9,91.0,0.0
4081,3.7,1.29,10.9,4.8,0.4,2.78,4.8,0.0,79.1,46.0,0.0
14210,17.1,1.39,2.6,8.2,16.8,1.06,2.6,2.8,66.8,0.0,0.1
17766,0.59,1.68,12.9,9.4,40.9,0.06,3.0,4.2,29.4,104.0,0.2
13149,3.94,1.74,3.1,18.7,25.4,0.35,11.6,11.3,27.9,18.0,2.0
2699,54.55,1.29,2.8,2.6,53.2,2.34,1.7,5.1,34.5,0.0,0.1
10770,31.6,1.47,16.9,4.4,40.1,1.0,3.7,5.2,29.6,119.0,0.1
9773,16.7,1.63,4.7,12.8,9.4,0.27,2.5,0.4,70.2,36.0,0.0
11065,98.6,1.36,1.6,2.3,46.7,0.98,5.4,22.6,17.5,0.0,3.9
14052,0.33,1.79,9.6,13.2,12.0,0.08,16.4,7.2,40.0,183.0,1.6
6752,15.8,1.4,3.2,8.1,19.2,1.5,2.1,4.6,62.8,117.0,0.0
13964,2.19,1.46,26.4,12.5,17.0,0.29,10.3,8.2,23.9,30.0,1.7
8584,21.0,1.57,7.5,17.9,13.9,0.23,8.2,1.5,51.0,48.0,0.0
11335,0.09,1.69,21.0,13.2,17.2,0.07,11.6,3.0,33.8,99.0,0.2
10694,292.0,1.31,1.9,0.1,72.4,0.1,3.0,4.0,18.6,61.0,0.0
1029,6.36,1.4,4.2,23.0,15.4,1.61,4.3,1.6,51.5,64.0,0.0
14371,6.57,1.6,3.9,30.1,7.2,0.8,6.3,1.3,51.1,0.0,0.1
8278,0.07,1.62,28.3,13.2,14.0,0.05,6.7,1.8,35.8,152.0,0.2
1666,4.42,1.63,13.8,17.7,19.9,0.51,9.9,7.1,30.9,0.0,0.7
8336,0.01,1.32,23.5,11.0,3.6,0.12,5.9,0.2,55.8,45.0,0.0
10795,46.0,1.59,2.5,5.1,42.2,0.07,3.2,3.6,43.3,104.0,0.1
